0 0 1 0 0 0 -nan -nan
0 0 2 0 0 0 -nan -nan
1 0 2 0 0 0 100.000000 -nan
1 0 3 0 0 0 100.000000 -nan
1 0 3 1 1 0 100.000000 100.000000
1 0 3 2 2 0 100.000000 100.000000
1 0 3 3 3 0 100.000000 100.000000
1 0 4 3 3 0 100.000000 100.000000
1 0 5 3 3 0 100.000000 100.000000
1 0 6 3 3 0 100.000000 100.000000
1 0 7 3 3 0 100.000000 100.000000
2 0 7 3 3 0 100.000000 100.000000
2 0 8 3 3 0 100.000000 100.000000
2 0 9 3 3 0 100.000000 100.000000
2 0 10 3 3 0 100.000000 100.000000
2 0 11 3 3 0 100.000000 100.000000
2 0 11 4 4 0 100.000000 100.000000
3 0 11 4 4 0 100.000000 100.000000
3 0 12 4 4 0 100.000000 100.000000
4 0 12 4 4 0 100.000000 100.000000
4 0 13 4 4 0 100.000000 100.000000
4 0 13 5 5 0 100.000000 100.000000
4 1 13 5 5 0 80.000000 100.000000
4 1 13 6 6 0 80.000000 100.000000
4 1 13 7 6 1 80.000000 85.714286
4 1 13 8 7 1 80.000000 87.500000
4 2 13 8 7 1 66.666667 87.500000
4 2 13 9 8 1 66.666667 88.888889
5 2 13 9 8 1 71.428571 88.888889
6 2 13 9 8 1 75.000000 88.888889
7 2 13 9 8 1 77.777778 88.888889
7 2 14 9 8 1 77.777778 88.888889
7 2 14 10 8 2 77.777778 80.000000
7 2 15 10 8 2 77.777778 80.000000
7 2 16 10 8 2 77.777778 80.000000
7 2 16 11 8 3 77.777778 72.727273
7 2 17 11 8 3 77.777778 72.727273
8 2 17 11 8 3 80.000000 72.727273
8 2 18 11 8 3 80.000000 72.727273
8 2 19 11 8 3 80.000000 72.727273
8 2 19 12 8 4 80.000000 66.666667
8 2 20 12 8 4 80.000000 66.666667
8 2 20 13 9 4 80.000000 69.230769
8 3 20 13 9 4 72.727273 69.230769
8 3 20 14 10 4 72.727273 71.428571
8 4 20 14 10 4 66.666667 71.428571
8 5 20 14 10 4 61.538462 71.428571
8 5 21 14 10 4 61.538462 71.428571
8 6 21 14 10 4 57.142857 71.428571
8 7 21 14 10 4 53.333333 71.428571
8 7 22 14 10 4 53.333333 71.428571
8 7 23 14 10 4 53.333333 71.428571
8 7 23 15 10 5 53.333333 66.666667
8 8 23 15 10 5 50.000000 66.666667
8 8 24 15 10 5 50.000000 66.666667
8 9 24 15 10 5 47.058824 66.666667
9 9 24 15 10 5 50.000000 66.666667
10 9 24 15 10 5 52.631579 66.666667
10 9 24 16 10 6 52.631579 62.500000
10 10 24 16 10 6 50.000000 62.500000
10 10 25 16 10 6 50.000000 62.500000
10 10 25 17 11 6 50.000000 64.705882
10 10 26 17 11 6 50.000000 64.705882
10 10 27 17 11 6 50.000000 64.705882
10 10 27 18 12 6 50.000000 66.666667
10 11 27 18 12 6 47.619048 66.666667
10 11 27 19 12 7 47.619048 63.157895
10 11 27 20 13 7 47.619048 65.000000
10 11 27 21 14 7 47.619048 66.666667
10 11 28 21 14 7 47.619048 66.666667
