0 0 1 0 0 0 -nan -nan
0 1 1 0 0 0 0.000000 -nan
0 2 1 0 0 0 0.000000 -nan
1 2 1 0 0 0 33.333333 -nan
1 2 2 0 0 0 33.333333 -nan
1 2 3 0 0 0 33.333333 -nan
1 2 3 1 1 0 33.333333 100.000000
1 3 3 1 1 0 25.000000 100.000000
2 3 3 1 1 0 40.000000 100.000000
2 3 4 1 1 0 40.000000 100.000000
2 4 4 1 1 0 33.333333 100.000000
3 4 4 1 1 0 42.857143 100.000000
4 4 4 1 1 0 50.000000 100.000000
4 4 4 2 2 0 50.000000 100.000000
4 4 4 3 3 0 50.000000 100.000000
4 4 5 3 3 0 50.000000 100.000000
4 4 5 4 4 0 50.000000 100.000000
4 4 5 5 5 0 50.000000 100.000000
4 5 5 5 5 0 44.444444 100.000000
4 6 5 5 5 0 40.000000 100.000000
4 6 5 6 5 1 40.000000 83.333333
4 7 5 6 5 1 36.363636 83.333333
4 7 6 6 5 1 36.363636 83.333333
4 8 6 6 5 1 33.333333 83.333333
4 8 7 6 5 1 33.333333 83.333333
4 8 7 7 6 1 33.333333 85.714286
4 8 7 8 7 1 33.333333 87.500000
4 8 7 9 8 1 33.333333 88.888889
4 9 7 9 8 1 30.769231 88.888889
4 9 7 10 9 1 30.769231 90.000000
4 9 7 11 9 2 30.769231 81.818182
4 10 7 11 9 2 28.571429 81.818182
5 10 7 11 9 2 33.333333 81.818182
5 10 8 11 9 2 33.333333 81.818182
6 10 8 11 9 2 37.500000 81.818182
6 10 8 12 10 2 37.500000 83.333333
6 11 8 12 10 2 35.294118 83.333333
6 11 8 13 11 2 35.294118 84.615385
6 12 8 13 11 2 33.333333 84.615385
7 12 8 13 11 2 36.842105 84.615385
7 12 8 14 12 2 36.842105 85.714286
7 12 9 14 12 2 36.842105 85.714286
7 12 9 15 13 2 36.842105 86.666667
7 12 9 16 14 2 36.842105 87.500000
7 13 9 16 14 2 35.000000 87.500000
7 14 9 16 14 2 33.333333 87.500000
7 15 9 16 14 2 31.818182 87.500000
7 15 10 16 14 2 31.818182 87.500000
7 16 10 16 14 2 30.434783 87.500000
8 16 10 16 14 2 33.333333 87.500000
9 16 10 16 14 2 36.000000 87.500000
9 17 10 16 14 2 34.615385 87.500000
9 18 10 16 14 2 33.333333 87.500000
9 18 10 17 15 2 33.333333 88.235294
9 19 10 17 15 2 32.142857 88.235294
9 19 10 18 16 2 32.142857 88.888889
9 19 10 19 17 2 32.142857 89.473684
9 20 10 19 17 2 31.034483 89.473684
9 21 10 19 17 2 30.000000 89.473684
9 22 10 19 17 2 29.032258 89.473684
9 23 10 19 17 2 28.125000 89.473684
9 23 10 20 18 2 28.125000 90.000000
9 23 10 21 19 2 28.125000 90.476190
9 23 10 22 20 2 28.125000 90.909091
9 24 10 22 20 2 27.272727 90.909091
10 24 10 22 20 2 29.411765 90.909091
10 25 10 22 20 2 28.571429 90.909091
10 26 10 22 20 2 27.777778 90.909091
10 26 11 22 20 2 27.777778 90.909091
10 27 11 22 20 2 27.027027 90.909091
11 27 11 22 20 2 28.947368 90.909091
11 28 11 22 20 2 28.205128 90.909091
11 29 11 22 20 2 27.500000 90.909091
11 30 11 22 20 2 26.829268 90.909091
12 30 11 22 20 2 28.571429 90.909091
12 31 11 22 20 2 27.906977 90.909091
12 32 11 22 20 2 27.272727 90.909091
12 32 11 23 20 3 27.272727 86.956522
12 32 12 23 20 3 27.272727 86.956522
12 32 12 24 20 4 27.272727 83.333333
12 33 12 24 20 4 26.666667 83.333333
13 33 12 24 20 4 28.260870 83.333333
13 33 13 24 20 4 28.260870 83.333333
13 34 13 24 20 4 27.659574 83.333333
13 35 13 24 20 4 27.083333 83.333333
13 36 13 24 20 4 26.530612 83.333333
13 37 13 24 20 4 26.000000 83.333333
13 37 14 24 20 4 26.000000 83.333333
14 37 14 24 20 4 27.450980 83.333333
15 37 14 24 20 4 28.846154 83.333333
15 38 14 24 20 4 28.301887 83.333333
15 38 14 25 20 5 28.301887 80.000000
15 39 14 25 20 5 27.777778 80.000000
16 39 14 25 20 5 29.090909 80.000000
16 40 14 25 20 5 28.571429 80.000000
17 40 14 25 20 5 29.824561 80.000000
17 40 15 25 20 5 29.824561 80.000000
17 40 15 26 20 6 29.824561 76.923077
17 41 15 26 20 6 29.310345 76.923077
17 41 15 27 20 7 29.310345 74.074074
17 42 15 27 20 7 28.813559 74.074074
17 42 15 28 20 8 28.813559 71.428571
17 42 16 28 20 8 28.813559 71.428571
17 42 17 28 20 8 28.813559 71.428571
17 43 17 28 20 8 28.333333 71.428571
17 43 17 29 20 9 28.333333 68.965517
17 44 17 29 20 9 27.868852 68.965517
18 44 17 29 20 9 29.032258 68.965517
18 44 17 30 20 10 29.032258 66.666667
18 45 17 30 20 10 28.571429 66.666667
18 45 18 30 20 10 28.571429 66.666667
18 46 18 30 20 10 28.125000 66.666667
18 46 18 31 20 11 28.125000 64.516129
18 46 19 31 20 11 28.125000 64.516129
18 47 19 31 20 11 27.692308 64.516129
18 48 19 31 20 11 27.272727 64.516129
19 48 19 31 20 11 28.358209 64.516129
19 49 19 31 20 11 27.941176 64.516129
19 50 19 31 20 11 27.536232 64.516129
19 51 19 31 20 11 27.142857 64.516129
19 51 19 32 20 12 27.142857 62.500000
19 52 19 32 20 12 26.760563 62.500000
19 52 20 32 20 12 26.760563 62.500000
19 52 20 33 20 13 26.760563 60.606061
19 52 20 34 20 14 26.760563 58.823529
19 52 20 35 20 15 26.760563 57.142857
20 52 20 35 20 15 27.777778 57.142857
20 52 21 35 20 15 27.777778 57.142857
20 52 22 35 20 15 27.777778 57.142857
20 52 22 36 20 16 27.777778 55.555556
20 52 23 36 20 16 27.777778 55.555556
20 52 24 36 20 16 27.777778 55.555556
20 52 24 37 20 17 27.777778 54.054054
20 52 25 37 20 17 27.777778 54.054054
21 52 25 37 20 17 28.767123 54.054054
21 53 25 37 20 17 28.378378 54.054054
21 53 25 38 20 18 28.378378 52.631579
21 53 25 39 20 19 28.378378 51.282051
21 53 26 39 20 19 28.378378 51.282051
21 53 26 40 20 20 28.378378 50.000000
21 53 26 41 20 21 28.378378 48.780488
22 53 26 41 20 21 29.333333 48.780488
22 53 27 41 20 21 29.333333 48.780488
22 53 27 42 20 22 29.333333 47.619048
23 53 27 42 20 22 30.263158 47.619048
23 54 27 42 20 22 29.870130 47.619048
23 54 27 43 20 23 29.870130 46.511628
23 55 27 43 20 23 29.487179 46.511628
23 55 28 43 20 23 29.487179 46.511628
24 55 28 43 20 23 30.379747 46.511628
24 56 28 43 20 23 30.000000 46.511628
24 56 28 44 21 23 30.000000 47.727273
24 57 28 44 21 23 29.629630 47.727273
25 57 28 44 21 23 30.487805 47.727273
25 57 29 44 21 23 30.487805 47.727273
25 58 29 44 21 23 30.120482 47.727273
25 58 30 44 21 23 30.120482 47.727273
25 59 30 44 21 23 29.761905 47.727273
25 60 30 44 21 23 29.411765 47.727273
26 60 30 44 21 23 30.232558 47.727273
26 61 30 44 21 23 29.885057 47.727273
26 61 31 44 21 23 29.885057 47.727273
26 61 32 44 21 23 29.885057 47.727273
26 62 32 44 21 23 29.545455 47.727273
26 62 32 45 21 24 29.545455 46.666667
26 63 32 45 21 24 29.213483 46.666667
26 63 33 45 21 24 29.213483 46.666667
27 63 33 45 21 24 30.000000 46.666667
27 64 33 45 21 24 29.670330 46.666667
27 65 33 45 21 24 29.347826 46.666667
27 65 33 46 22 24 29.347826 47.826087
27 66 33 46 22 24 29.032258 47.826087
27 66 33 47 23 24 29.032258 48.936170
28 66 33 47 23 24 29.787234 48.936170
29 66 33 47 23 24 30.526316 48.936170
29 67 33 47 23 24 30.208333 48.936170
29 67 33 48 23 25 30.208333 47.916667
29 67 34 48 23 25 30.208333 47.916667
29 67 34 49 23 26 30.208333 46.938776
29 68 34 49 23 26 29.896907 46.938776
29 68 34 50 23 27 29.896907 46.000000
30 68 34 50 23 27 30.612245 46.000000
30 69 34 50 23 27 30.303030 46.000000
30 70 34 50 23 27 30.000000 46.000000
30 70 34 51 23 28 30.000000 45.098039
30 70 35 51 23 28 30.000000 45.098039
30 70 35 52 23 29 30.000000 44.230769
30 71 35 52 23 29 29.702970 44.230769
30 72 35 52 23 29 29.411765 44.230769
30 72 35 53 23 30 29.411765 43.396226
31 72 35 53 23 30 30.097087 43.396226
31 73 35 53 23 30 29.807692 43.396226
31 73 35 54 23 31 29.807692 42.592593
32 73 35 54 23 31 30.476190 42.592593
32 73 35 55 23 32 30.476190 41.818182
32 74 35 55 23 32 30.188679 41.818182
32 75 35 55 23 32 29.906542 41.818182
33 75 35 55 23 32 30.555556 41.818182
33 76 35 55 23 32 30.275229 41.818182
34 76 35 55 23 32 30.909091 41.818182
34 77 35 55 23 32 30.630631 41.818182
34 77 35 56 24 32 30.630631 42.857143
34 78 35 56 24 32 30.357143 42.857143
34 78 35 57 24 33 30.357143 42.105263
34 78 35 58 25 33 30.357143 43.103448
34 78 35 59 26 33 30.357143 44.067797
34 78 35 60 26 34 30.357143 43.333333
34 79 35 60 26 34 30.088496 43.333333
34 80 35 60 26 34 29.824561 43.333333
35 80 35 60 26 34 30.434783 43.333333
35 80 35 61 26 35 30.434783 42.622951
35 81 35 61 26 35 30.172414 42.622951
35 81 35 62 26 36 30.172414 41.935484
35 81 35 63 26 37 30.172414 41.269841
35 81 35 64 26 38 30.172414 40.625000
35 82 35 64 26 38 29.914530 40.625000
35 82 35 65 26 39 29.914530 40.000000
35 82 35 66 26 40 29.914530 39.393939
35 83 35 66 26 40 29.661017 39.393939
36 83 35 66 26 40 30.252101 39.393939
36 84 35 66 26 40 30.000000 39.393939
36 84 35 67 26 41 30.000000 38.805970
36 84 36 67 26 41 30.000000 38.805970
36 84 37 67 26 41 30.000000 38.805970
36 85 37 67 26 41 29.752066 38.805970
36 86 37 67 26 41 29.508197 38.805970
36 87 37 67 26 41 29.268293 38.805970
36 88 37 67 26 41 29.032258 38.805970
36 88 38 67 26 41 29.032258 38.805970
37 88 38 67 26 41 29.600000 38.805970
37 88 38 68 26 42 29.600000 38.235294
37 88 38 69 26 43 29.600000 37.681159
37 88 38 70 26 44 29.600000 37.142857
37 89 38 70 26 44 29.365079 37.142857
38 89 38 70 26 44 29.921260 37.142857
38 89 39 70 26 44 29.921260 37.142857
38 90 39 70 26 44 29.687500 37.142857
38 90 40 70 26 44 29.687500 37.142857
38 91 40 70 26 44 29.457364 37.142857
38 92 40 70 26 44 29.230769 37.142857
39 92 40 70 26 44 29.770992 37.142857
39 92 40 71 26 45 29.770992 36.619718
39 92 41 71 26 45 29.770992 36.619718
39 92 42 71 26 45 29.770992 36.619718
39 92 43 71 26 45 29.770992 36.619718
39 93 43 71 26 45 29.545455 36.619718
39 93 44 71 26 45 29.545455 36.619718
39 94 44 71 26 45 29.323308 36.619718
39 94 45 71 26 45 29.323308 36.619718
40 94 45 71 26 45 29.850746 36.619718
40 94 46 71 26 45 29.850746 36.619718
40 94 46 72 26 46 29.850746 36.111111
40 94 46 73 26 47 29.850746 35.616438
40 94 46 74 26 48 29.850746 35.135135
40 94 46 75 26 49 29.850746 34.666667
40 94 47 75 26 49 29.850746 34.666667
41 94 47 75 26 49 30.370370 34.666667
41 95 47 75 26 49 30.147059 34.666667
41 95 47 76 26 50 30.147059 34.210526
41 95 47 77 26 51 30.147059 33.766234
41 95 47 78 26 52 30.147059 33.333333
41 96 47 78 26 52 29.927007 33.333333
42 96 47 78 26 52 30.434783 33.333333
42 96 47 79 26 53 30.434783 32.911392
43 96 47 79 26 53 30.935252 32.911392
43 97 47 79 26 53 30.714286 32.911392
43 98 47 79 26 53 30.496454 32.911392
43 98 47 80 26 54 30.496454 32.500000
44 98 47 80 26 54 30.985915 32.500000
45 98 47 80 26 54 31.468531 32.500000
45 99 47 80 26 54 31.250000 32.500000
45 100 47 80 26 54 31.034483 32.500000
45 101 47 80 26 54 30.821918 32.500000
45 102 47 80 26 54 30.612245 32.500000
45 102 47 81 26 55 30.612245 32.098765
45 103 47 81 26 55 30.405405 32.098765
45 104 47 81 26 55 30.201342 32.098765
46 104 47 81 26 55 30.666667 32.098765
46 104 47 82 26 56 30.666667 31.707317
46 105 47 82 26 56 30.463576 31.707317
47 105 47 82 26 56 30.921053 31.707317
47 105 47 83 26 57 30.921053 31.325301
48 105 47 83 26 57 31.372549 31.325301
48 105 47 84 26 58 31.372549 30.952381
49 105 47 84 26 58 31.818182 30.952381
49 105 47 85 26 59 31.818182 30.588235
49 106 47 85 26 59 31.612903 30.588235
49 107 47 85 26 59 31.410256 30.588235
49 108 47 85 26 59 31.210191 30.588235
49 108 48 85 26 59 31.210191 30.588235
49 109 48 85 26 59 31.012658 30.588235
49 109 49 85 26 59 31.012658 30.588235
49 109 49 86 26 60 31.012658 30.232558
49 109 49 87 26 61 31.012658 29.885057
49 109 49 88 26 62 31.012658 29.545455
